name,neighborhood,latitude,longitude
Alamo Square Park,Alamo Square,37.7763366,-122.4346917
The Painted Ladies,Alamo Square,37.7762528,-122.4327556
Kaiser Permanente Anza Vista,Anza Vista,37.7813755,-122.4438879
Bayshore Blvd & Oakdale Ave,Apparel City,37.7430156,-122.4051853
Industrial St & Elmira St,Apparel City,37.73879000000001,-122.40373
Fort Mason Center,Aquatic Park / Ft. Mason,37.8070318,-122.4311232
Ghirardelli Square,Aquatic Park / Ft. Mason,37.8059485,-122.4229383
Tank Hill Park,Ashbury Heights,37.7599053,-122.447707
Aptos Middle School,Balboa Terrace,37.7296363,-122.4656773
The Gregangelo Museum,Balboa Terrace,37.732698,-122.468418
Bayview Linda Brooks-Burton Library,Bayview,37.7325783,-122.3912975
Hilltop Park,Bayview,37.7328291,-122.3833628
Bernal Heights Park,Bernal Heights,37.7435771,-122.412475
Paul Revere Elementary School,Bernal Heights,37.7373148,-122.4131337
Bret Harte Elementary,Bret Harte,37.7203479,-122.3918794
Gilman Playground Park,Bret Harte,37.716656,-122.387913
Buena Vista Park,Buena Vista,37.7703713,-122.4431784
Mt. Olympus Stairs,Buena Vista,37.7633679,-122.4450328
Candlestick RV Park,Candlestick Point SRA,37.715753,-122.383352
Castro Theatre,Castro,37.7620333,-122.4347591
St. Mary's Cathedral,Cathedral Hill,37.7842115,-122.4253924
Balboa High School,Cayuga,37.7215796,-122.4407711
Crane Cove Park,Central Waterfront,37.7632701,-122.3873708
SF Fire Station 25,Central Waterfront,37.7466,-122.386995
The Midway,Central Waterfront,37.7492774,-122.3856944
Portsmouth Square,Chinatown,37.7948896,-122.4052341
Asian Art Museum,Civic Center,37.7802772,-122.4161605
SF City Hall,Civic Center,37.779275,-122.4192417
Van Ness Station,Civic Center,37.7754706,-122.4189693
Pemberton Place Steps,Clarendon Heights,37.7584749,-122.446816
Richard Gamble Memorial Park,Cole Valley,37.766261,-122.4492893
Randall Museum,Corona Heights,37.764426,-122.4383192
Roosevelt & Henry Stairs,Corona Heights,37.7664819,-122.4374982
Cederwall Fine Art,Cow Hollow,37.795673,-122.4452028
Union St & Pierce St,Cow Hollow,37.7966831,-122.4388074
Crocker Amazon Playground,Crocker Amazon,37.7144528,-122.4305472
Mission St & Whittier St,Crocker Amazon,37.7103758,-122.4483989
Diamond Heights Shopping Center,Diamond Heights,37.7438354,-122.4389724
Esprit Park,Dogpatch,37.7609832,-122.3910594
Museum of Craft and Design,Dogpatch,37.7568398,-122.3877893
24th St & Guerrero St,Dolores Heights,37.7519866,-122.4228484
Sanchez Street Stairs,Dolores Heights,37.7593234,-122.4304368
Thomas Edison Charter Academy,Dolores Heights,37.7545904,-122.4263672
Market St & Kearny St,Downtown / Union Square,37.7876541,-122.4034549
Union Square,Downtown / Union Square,37.7879358,-122.4075139
Duboce Park,Duboce Triangle,37.76955100000001,-122.433214
Market St & Sanchez St,Duboce Triangle,37.7657569,-122.4310618
Castro St & 21st St,Eureka Valley,37.7561163,-122.4345705
Kite Hill,Eureka Valley,37.7582833,-122.4415667
Excelsior Park,Excelsior,37.7204291,-122.4332757
